"author_year"	"cohort_id"	"ed"	"ex"	"ga"	"bt"	"re"	"pm"	"ph"	"ba"	"wo"	"te"	"other_procedures"	"phy"	"psy"	"pt"	"ot"	"nur"	"swo"	"other_healthcare_providers"	"in_out_patient"	"type_of_contact"	"group_size"	"mode_of_delivery_subinfo"	"setting"	"time_span"	"hours"	"minutes"	"tailoring"	"followup_sessions_provided"	"followup_sessions_description"
"van Eijk-Hustings (2013)"	"a"	1	1	1	1	0	0	0	1	0	0	"sociotherapy (increase social behavior strategies and support); creative arts therapy"	0	0	1	1	0	0	"ergo therapist"	"outpatient"	"Group (>90%)"	NA	"face-to-face"	"treatment/rehabilitation center"	12	126	NA	"Medium"	"Yes"	"up to 7 seven sessions, repeat key messages to presevere behavior change.  based on patients requirements."
"van Hooff (2010)"	"a"	1	1	0	1	1	1	0	0	0	0	NA	0	1	1	1	0	0	NA	"inpatient"	"Group (>90%)"	NA	"face-to-face"	"Hotel facility, organized by Sint Maartens kliniek Nijmegen"	2	100	NA	"Low"	NA	NA
"van Wilgen (2009)"	"a"	1	1	1	1	1	1	0	0	0	0	"counseling; medication reduction; bedrest; desensitization; participation of significant other"	1	1	1	0	0	0	NA	"inpatient and outpatient combined"	"Mixed"	NA	"face-to-face"	"hospital"	7	NA	NA	"High"	"No"	NA
"Vendrig (2000)"	"a"	1	1	1	0	0	0	1	0	1	0	"Follow-up meeting"	0	1	1	0	0	0	"orthopedic surgeon; reintegration therapist"	"outpatient"	"Group (>90%)"	NA	"face-to-face"	"treatment/rehabilitation center"	4	NA	NA	NA	NA	NA
"Verkerk (2011)"	"a"	1	1	0	0	1	1	0	1	0	0	NA	1	1	1	0	0	0	"Mensendieck therapist, health scientist"	"outpatient"	"Group (>90%)"	"6"	"face-to-face"	"treatment/rehabilitation center"	9	48	NA	"Low"	"Yes"	"•	Follow-up session (1): including, evaluation, assessments, training."
"Volker (2017)"	"a"	1	1	0	1	1	0	0	0	0	0	NA	1	1	1	1	0	1	NA	"outpatient"	"Mixed"	NA	"face-to-face"	"treatment/rehabilitation center"	15	NA	NA	"Low"	"No"	NA
"Wagner (2011)"	"a"	1	1	0	1	1	1	0	0	0	0	NA	1	1	1	1	1	0	NA	"outpatient"	"Mixed"	NA	"face-to-face"	"pain clinic"	6	122	30	"High"	"No"	NA
"Westman (2009)"	"a"	1	1	0	1	1	0	0	1	0	0	"creative activities (e.g. music, dance, art)
information presented by the social insurance office and employment office. 
Optional individual program: orthopedic treatment/training; short-term psychotherapy; physiotherapy)."	1	1	1	0	0	0	"Representative from the insurance company"	"outpatient"	"Group (>90%)"	"8-10"	"face-to-face"	"primary care setting"	8	140	NA	"Low"	"yes"	"At the end of the base program, individual target formulations were constructed, and regular meetings were held for a period of 1 year after rehabilitation was terminated.
"
"Zhuk (2018)"	"a"	1	1	0	0	1	1	0	1	0	0	"familiy constellations, psychotherapy, music therapy"	1	1	1	0	0	0	NA	"outpatient"	"Mixed"	NA	"face-to-face"	"pain clinic"	3	NA	NA	"Low"	"No"	NA
"Zhuk (2018)"	"a"	1	1	0	0	1	1	0	1	0	0	"familiy constellations, psychotherapy, music therapy"	1	1	1	0	0	0	NA	NA	"Mixed"	"59"	"face-to-face"	"hospital"	3	NA	NA	"Low"	"No"	NA
"Zhuk (2018)"	NA	1	1	0	1	1	1	0	0	0	0	"Biofeedback
systemic Family constellation
Music therapy"	1	1	1	0	1	0	"Music therapist"	"outpatient"	"Group (>90%)"	NA	"face-to-face"	"pain clinic"	3	NA	NA	NA	"No"	NA
