"author";"year";"cohort_id";"treatment_aim";"treatment_modalities";"healthcare_providers";"in_out_patient";"type_of_contact";"group_size";"mode_of_delivery_subinfo";"setting";"time_span";"hours";"minutes";"tailoring";"followup_sessions_provided";"followup_sessions_description";"other_healthcare_providers";"other_procedures";"author_year";"ed";"ex";"ga";"ph";"wo";"bt";"pm";"te";"ba";"re";"phy";"psy";"pt";"ot";"nur";"swo"
"Thieme";"(2003)";"a";NA;"education, exercise, (cognitive) behavioral therapy, pain management skills";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), nurse";"inpatient";"Group (>90%)";"5-7";"face-to-face";"hospital";5;75;NA;"Low";"no";NA;NA;NA;"Thieme (2003)";1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0
"Westman";"(2009)";"a";"to help patients discover possibilities rather then obstacles when returning to work.";"education, exercise, (cognitive) behavioral therapy, relaxation, body awareness therapy, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";"outpatient";"Group (>90%)";"8-10";"face-to-face";"primary care setting";8;140;NA;"Low";"yes";"At the end of the base program, individual target formulations were constructed, and regular meetings were held for a period of 1 year after rehabilitation was terminated.
";"Representative from the insurance company";"creative activities (e.g. music, dance, art)
information presented by the social insurance office and employment office. 
Optional individual program: orthopedic treatment/training; short-term psychotherapy; physiotherapy).";"Westman (2009)";1;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0
"Bergstrom";"(2014)";"a";"General arm: to attain a higher level of body awareness and perceived health. Main goal: decreased sick leave and rtw.

";"education, exercise, relaxation, pain management skills, body awareness therapy, team meetings, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor)";"outpatient";"Group (>90%)";"10-12";"face-to-face";"hospital";5;NA;NA;"Low";"No";NA;NA;"Consultation with Social insurance agency, primary care physician, if needed.";"Bergstrom (2014)";1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;1
"Merrick";"(2009)";"a";NA;"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, body awareness therapy";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor), other";"outpatient";"Mixed";NA;"face-to-face";"hospital";5;66;30;"Low";"No";NA;"Patient is team member";"General information by social insurance/safety regulations
Individual sessions
Physiotherapy
Occupational therapy";"Merrick (2009)";1;1;0;0;0;0;1;0;1;1;1;1;1;0;0;1
"Olason";"(2004)";"a";"One of the main emphases of the program was to gradually withdraw all pain relieving drugs. The focus was on increasing the patients’ physical functioning level and enabling them to return to work.";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, pharmacological treatment, body awareness therapy, team meetings, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor), nurse, other";"inpatient";"Mixed";NA;"face-to-face";"treatment/rehabilitation center";7;NA;NA;"Medium";"No";NA;"Sport therapist";"Decrease drugs dose (weaning?)
Optional: manipulation or other forms of special PT
Optional: Psychiatric consultation";"Olason (2004)";1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1
"Stein";"(2013)";"a";"The aim of treatment was not to reduce pain but to focus on patients’ quality of life, reduce their drug consumption and maintain or restore their capacity to work";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, body awareness therapy, team meetings";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), other";"outpatient";"Group (>90%)";"6-8";"face-to-face";"primary care unit";6;90;NA;NA;NA;NA;"medical secretary";"mindfulness; education on postures to avoid the pain";"Stein (2013)";1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0
"Tavafian";"(2011)";"a";"To improve HRQoL and reduce disability of Iranian patients with CLBP up to 12 months.
";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, pharmacological treatment, Other";"psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";"outpatient";"Group (>90%)";NA;"face-to-face";"university";1;9;NA;"Low";"Yes";"motivational counseling by phone (for 12 months) / monthly booster sessions Discussing beliefs, knowledge and perception regarding LBP. Promoting healthy behaviors, exercising and negating stressors. •	Motivational counseling by phone. Encouraged to cope with the stressors actively to achieve successful adaptation. (for 6 months)";"health education specialist; rheumatologist";"preventive back injury techniques such as correct posture; booster sessions (discussing beliefs, promoting healthy behaviors);";"Tavafian (2011)";1;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0
"Van der Maas";"(2015)";"a";"Overall: improve HRQOL, decrease disability and depression. PMT specific: By improving BA, patients learn to recognize body signals other than pain to determine physical and mental states. This will lead to better understanding of bodily information, increasing confidence in body and oneself. increases HRQOL via decreased  catastrophizing and increased self-efficacy.";"education, exercise, graded activity, (cognitive) behavioral therapy, relaxation, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"outpatient";"Group (>90%)";"4-6";"face-to-face";"treatment/rehabilitation center";12;94;NA;"Low";"Yes";"2x 90min follow-up group sessions to evaluate goals, share experiences, explore solutions and reasons for not achieving goals. New goal setting at fu1, when necessary.";NA;"occupational therapy / partner education / coaching";"Van der Maas (2015)";1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0
"Van der Maas";"(2015)";"b";NA;"education, exercise, graded activity, (cognitive) behavioral therapy, relaxation, body awareness therapy, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"outpatient";"Group (>90%)";"4-6";"face-to-face";"treatment/rehabilitation center";12;109;NA;"Low";"Yes";"2x90min group follow-up sessions to evaluate goals, share experiences, explore solutions and reasons for not achieving goals. New goal setting at fu1, when necessary.";NA;"Occupational therapy / Partner education / coaching";"Van der Maas (2015)";1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0
"Volker";"(2017)";"a";"To optimize patients’ functioning of activities and participation by supporting them in managing their pain.";"education, exercise, (cognitive) behavioral therapy, relaxation";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor)";"outpatient";"Mixed";NA;"face-to-face";"treatment/rehabilitation center";15;NA;NA;"Low";"No";NA;NA;NA;"Volker (2017)";1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1
"Wagner";"(2011)";"a";"teaching skills that enhance self-management of pain and improved functioning.";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), nurse";"outpatient";"Mixed";NA;"face-to-face";"pain clinic";6;122;30;"High";"No";NA;NA;NA;"Wagner (2011)";1;1;0;0;0;0;1;0;0;1;1;1;1;1;1;0
"Oslund";"(2009)";"a";"The goals of interdisciplinary care include providing skills in decreasing muscle tension and sympathetic nervous system activation by addressing and reframing beliefs about pain and coping. The patients are guided in overcoming fear and avoidance of behavior associated with pain and in improving physical strengthening and conditioning";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), other";"outpatient";"Mixed";NA;"face-to-face";"university";4;120;NA;"Low";"No";NA;"Counselors
Case managers";NA;"Oslund (2009)";1;1;0;0;0;0;1;0;0;1;1;1;1;0;0;0
